year,round,type,institute,academic_program,quota,seat_type,gender,opening_rank,closing_rank
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,792,792
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,5338,9318
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,444,444
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,,2154,6132
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,,925,3212
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,15794,26276
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,1237,1237
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,7370,10005
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,522,522
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,,4131,6768
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,,1746,2879
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,12685,23662
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,651,651
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,6792,9768
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,407,407
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,,3421,5576
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,,719,3461
2016,6,3IT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,,11315,27270
